"","Occurrences","Words","Cluster","Color","Cluster_Label"
"45",18,"carbon emission trading",2,"#377EB880","green innovation"
"48",12,"fiscal decentralization",2,"#377EB880","green innovation"
"51",15,"economic development",2,"#377EB880","green innovation"
"61",14,"porter hypothesis",2,"#377EB880","green innovation"
"78",14,"cleaner production",2,"#377EB880","green innovation"
"87",16,"china",2,"#377EB880","green innovation"
"89",13,"economic growth",2,"#377EB880","green innovation"
"102",13,"innovation activities",2,"#377EB880","green innovation"
"119",9,"carbon dioxide",2,"#377EB880","green innovation"
"132",10,"evolutionary game",2,"#377EB880","green innovation"
"135",9,"innovation capability",2,"#377EB880","green innovation"
"138",10,"network analysis",2,"#377EB880","green innovation"
"147",11,"emission reduction",2,"#377EB880","green innovation"
"156",11,"green development",2,"#377EB880","green innovation"
"169",10,"threshold effect",2,"#377EB880","green innovation"
"180",10,"environmental pollution",2,"#377EB880","green innovation"
"186",10,"green patent",2,"#377EB880","green innovation"
"41",18,"manufacturing industry",3,"#4DAF4A80","social responsibility"
"42",25,"social responsibility",3,"#4DAF4A80","social responsibility"
"50",21,"corporate social",3,"#4DAF4A80","social responsibility"
"105",9,"knowledge management",3,"#4DAF4A80","social responsibility"
"122",12,"emerging economies",3,"#4DAF4A80","social responsibility"
"166",11,"responsibility csr",3,"#4DAF4A80","social responsibility"
"234",9,"stakeholder theory",3,"#4DAF4A80","social responsibility"
"2",123,"environmental innovation",4,"#984EA380","environmental innovation"
"10",55,"environmental performance",4,"#984EA380","environmental innovation"
"16",33,"competitive advantage",4,"#984EA380","environmental innovation"
"22",23,"economic performance",4,"#984EA380","environmental innovation"
"39",19,"firms environmental",4,"#984EA380","environmental innovation"
"55",16,"corporate environmental",4,"#984EA380","environmental innovation"
"63",13,"stakeholder pressure",4,"#984EA380","environmental innovation"
"67",12,"environmental strategy",4,"#984EA380","environmental innovation"
"72",14,"environmental awareness",4,"#984EA380","environmental innovation"
"74",16,"medium_sized enterprises",4,"#984EA380","environmental innovation"
"90",12,"environmental strategies",4,"#984EA380","environmental innovation"
"91",9,"green practices",4,"#984EA380","environmental innovation"
"95",16,"smes",4,"#984EA380","environmental innovation"
"111",12,"enterprises smes",4,"#984EA380","environmental innovation"
"123",12,"environmental responsibility",4,"#984EA380","environmental innovation"
"125",9,"innovation adoption",4,"#984EA380","environmental innovation"
"3",92,"supply chain management",5,"#FF7F0080","supply chain management"
"28",36,"green",5,"#FF7F0080","supply chain management"
"35",11,"sustainable performance",5,"#FF7F0080","supply chain management"
"49",17,"green supply",5,"#FF7F0080","supply chain management"
"54",16,"s",5,"#FF7F0080","supply chain management"
"62",18,"stakeholder engagement",5,"#FF7F0080","supply chain management"
"65",11,"sustainability performance",5,"#FF7F0080","supply chain management"
"66",14,"waste management",5,"#FF7F0080","supply chain management"
"69",19,"sustainable",5,"#FF7F0080","supply chain management"
"70",11,"corporate sustainability",5,"#FF7F0080","supply chain management"
"94",16,"performance",5,"#FF7F0080","supply chain management"
"97",9,"sustainable supply",5,"#FF7F0080","supply chain management"
"112",13,"green economy",5,"#FF7F0080","supply chain management"
"121",13,"development",5,"#FF7F0080","supply chain management"
"136",9,"innovation system",5,"#FF7F0080","supply chain management"
"137",11,"manufacturing enterprises",5,"#FF7F0080","supply chain management"
"6",130,"innovation",6,"#A6562880","innovation"
"8",60,"circular economy",6,"#A6562880","innovation"
"12",37,"financial performance",6,"#A6562880","innovation"
"21",31,"environmental policy",6,"#A6562880","innovation"
"23",32,"climate change",6,"#A6562880","innovation"
"24",39,"sustainability",6,"#A6562880","innovation"
"25",21,"environmental management",6,"#A6562880","innovation"
"27",22,"firm performance",6,"#A6562880","innovation"
"30",23,"environmental sustainability",6,"#A6562880","innovation"
"34",27,"resource based view",6,"#A6562880","innovation"
"43",16,"sustainable innovation",6,"#A6562880","innovation"
"46",14,"dynamic capabilities",6,"#A6562880","innovation"
"47",20,"environmental impact",6,"#A6562880","innovation"
"52",19,"environmental management systems",6,"#A6562880","innovation"
"56",23,"environmental",6,"#A6562880","innovation"
"64",19,"policy makers",6,"#A6562880","innovation"
"68",16,"institutional theory",6,"#A6562880","innovation"
"71",14,"energy efficiency",6,"#A6562880","innovation"
"84",14,"innovation strategies",6,"#A6562880","innovation"
"98",10,"business model",6,"#A6562880","innovation"
"103",12,"innovation capabilities",6,"#A6562880","innovation"
"115",12,"manufacturing companies",6,"#A6562880","innovation"
"176",10,"emerging markets",6,"#A6562880","innovation"
"196",10,"policy implications",6,"#A6562880","innovation"
