"","Occurrences","Words","Cluster","Color","Cluster_Label"
"63",14,"business performance",6,"#A6562880","environmental innovation"
"83",10,"policy mix",6,"#A6562880","environmental innovation"
"85",10,"regional development",6,"#A6562880","environmental innovation"
"86",16,"results reveal",6,"#A6562880","environmental innovation"
"90",16,"china",6,"#A6562880","environmental innovation"
"91",13,"developing countries",6,"#A6562880","environmental innovation"
"94",12,"government subsidy",6,"#A6562880","environmental innovation"
"116",11,"chinese manufacturing",6,"#A6562880","environmental innovation"
"117",11,"economic development",6,"#A6562880","environmental innovation"
"118",10,"environmental technology",6,"#A6562880","environmental innovation"
"121",12,"manufacturing industry",6,"#A6562880","environmental innovation"
"123",10,"oecd countries",6,"#A6562880","environmental innovation"
"133",11,"institutional pressure",6,"#A6562880","environmental innovation"
"160",10,"environment",6,"#A6562880","environmental innovation"
"176",10,"resource",6,"#A6562880","environmental innovation"
"179",10,"study develops",6,"#A6562880","environmental innovation"
